2020-07-30,1830,TNT,Utah Jazz,New Orleans Pelicans
2020-07-30,2100,TNT,Los Angeles Clippers,Los Angeles Lakers
2020-07-31,1430,N/A,Orlando Magic,Brooklyn Nets
2020-07-31,1600,NBATV,Memphis Grizzlies,Portland Trailblazers
2020-07-31,1600,N/A,Phoenix Suns,Washington Wizards
2020-07-31,1830,ESPN,Boston Celtics,Milwaukee Bucks
2020-07-31,2000,N/A,Sacramento Kings,San Antonio Spurs
2020-07-31,2100,ESPN,Houston Rockets,Dallas Mavericks
2020-08-01,1300,ESPN,Miami Heat,Denver Nuggets
2020-08-01,1530,ESPN,Utah Jazz,Oklahoma City Thunder
2020-08-01,1800,ESPN,New Orleans Pelicans,Los Angeles Clippers
2020-08-01,1900,N/A,Philadelphia 76ers,Indiana Pacers
2020-08-01,2030,ESPN,Los Angeles Lakers,Toronto Raptors
2020-08-02,1400,N/A,Washington Wizards,Brooklyn Nets
2020-08-02,1530,ABC,Portland Trailblazers,Boston Celtics
2020-08-02,1600,N/A,San Antonio Spurs,Memphis Grizzlies
2020-08-02,1800,NBATV,Sacramento Kings,Orlando Magic
2020-08-02,2030,ABC,Milwaukee Bucks,Houston Rockets
2020-08-02,2100,N/A,Dallas Mavericks,Phoenix Suns
2020-08-03,1330,NBATV,Toronto Raptors,Miami Heat
2020-08-03,1600,NBATV,Denver Nuggets,Oklahoma City Thunder
2020-08-03,1600,N/A,Indiana Pacers,Washington Wizards
2020-08-03,1830,ESPN,Memphis Grizzlies,New Orleans Pelicans
2020-08-03,2000,N/A,San Antonio Spurs,Philadelphia 76ers
2020-08-03,2100,ESPN,Los Angeles Lakers,Utah Jazz
2020-08-04,1330,NBATV,Brooklyn Nets,Milwaukee Bucks
2020-08-04,1430,N/A,Dallas Mavericks,Sacramento Kings
2020-08-04,1600,NBATV,Phoenix Suns,Los Angeles Clippers
2020-08-04,1800,N/A,Orlando Magic,Indiana Pacers
2020-08-04,1830,TNT,Boston Celtics,Miami Heat
2020-08-04,2100,TNT,Houston Rockets,Portland Trailblazers
2020-08-05,1430,N/A,Memphis Grizzlies,Utah Jazz
2020-08-05,1600,NBATV,Philadelphia 76ers,Washington Wizards
2020-08-05,1600,N/A,Denver Nuggets,San Antonio Spurs
2020-08-05,1830,ESPN,Oklahoma City Thunder,Los Angeles Lakers
2020-08-05,2000,N/A,Toronto Raptors,Orlando Magic
2020-08-05,2100,ESPN,Brooklyn Nets,Boston Celtics
2020-08-06,1330,NBATV,New Orleans Pelicans,Sacramento Kings
2020-08-06,1600,TNT,Miami Heat,Milwaukee Bucks
2020-08-06,1600,N/A,Indiana Pacers,Phoenix Suns
2020-08-06,1830,TNT,Los Angeles Clippers,Dallas Mavericks
2020-08-06,2000,N/A,Portland Trailblazers,Denver Nuggets
2020-08-06,2100,TNT,Los Angeles Lakers,Houston Rockets
2020-08-07,1300,N/A,Utah Jazz,San Antonio Spurs
2020-08-07,1600,NBATV,Oklahoma City Thunder,Memphis Grizzlies
2020-08-07,1700,N/A,Sacramento Kings,Brooklyn Nets
2020-08-07,1830,TNT,Orlando Magic,Philadelphia 76ers
2020-08-07,2000,N/A,Washington Wizards,New Orleans Pelicans
2020-08-07,2100,TNT,Boston Celtics,Toronto Raptors
2020-08-08,1300,TNT,Los Angeles Clippers,Portland Trailblazers
2020-08-08,1430,TNT,Utah Jazz,Denver Nuggets
2020-08-08,1800,TNT,Los Angeles Lakers,Indiana Pacers
2020-08-08,1930,N/A,Phoenix Suns,Miami Heat
2020-08-08,2030,ESPN,Milwaukee Bucks,Dallas Mavericks
2020-08-09,1230,N/A,Washington Wizards,Oklahoma City Thunder
2020-08-09,1400,N/A,Memphis Grizzlies,Toronto Raptors
2020-08-09,1500,ABC,San Antonio Spurs,New Orleans Pelicans
2020-08-09,1700,N/A,Orlando Magic,Boston Celtics
2020-08-09,1830,NBATV,Philadelphia 76ers,Portland Trailblazers
2020-08-09,2000,N/A,Houston Rockets,Sacramento Kings
2020-08-09,2100,NBATV,Brooklyn Nets,Los Angeles Clippers
2020-08-10,1430,N/A,Oklahoma City Thunder,Phoenix Suns
2020-08-10,1500,NBATV,Dallas Mavericks,Utah Jazz
2020-08-10,1830,ESPN,Toronto Raptors,Milwaukee Bucks
2020-08-10,2000,N/A,Indiana Pacers,Miami Heat
2020-08-10,2100,TNT,Denver Nuggets,Los Angeles Lakers
2020-08-11,1300,N/A,Brooklyn Nets,Orlando Magic
2020-08-11,1400,NBATV,Houston Rockets,San Antonio Spurs
2020-08-11,1630,N/A,Phoenix Suns,Philadelphia 76ers
2020-08-11,1700,N/A,Portland Trailblazers,Dallas Mavericks
2020-08-11,1830,TNT,Boston Celtics,Memphis Grizzlies
2020-08-11,2100,TNT,New Orleans Pelicans,Sacramento Kings
2020-08-11,2100,N/A,Milwaukee Bucks,Washington Wizards
2020-08-12,1600,NBATV,Indiana Pacers,Houston Rockets
2020-08-12,1830,ESPN,Toronto Raptors,Philadelphia 76ers
2020-08-12,2000,N/A,Miami Heat,Oklahoma City Thunder
2020-08-12,2100,ESPN,Los Angeles Clippers,Denver Nuggets