2020-08-06,2000,NBC,Pittsburgh Steelers,Dallas Cowboys
2020-08-13,1900,NFLN,Philadelphia Eagles,Indianapolis Colts
2020-08-13,1930,N/A,New York Giants,New York Jets
2020-08-13,1930,N/A,Detroit Lions,New England Patriots
2020-08-13,1930,N/A,Jacksonville Jaguars,Carolina Panthers
2020-08-13,2200,NFLN,Las Vegas Raiders,Seattle Seahawks
2020-08-14,1900,N/A,Miami Dolphins,Atlanta Falcons
2020-08-14,1930,NFLN,Tampa Bay Buccaneers,Pittsburgh Steelers
2020-08-14,1930,N/A,Buffalo Bills,Baltimore Ravens
2020-08-14,2000,N/A,Houston Texans,Minnesota Vikings
2020-08-14,2200,NFLN,New Orleans Saints,Los Angeles Rams
2020-08-15,1300,NFLN,Arizona Cardinals,Green Bay Packers
2020-08-15,1300,N/A,Cleveland Browns,Chicago Bears
2020-08-15,1600,NFLN,Tennessee Titans,Washington Redskins
2020-08-15,2000,NFLN,Cincinnatti Bengals,Kansas City Chiefs
2020-08-15,2105,N/A,San Francisco 49ers,Denver Broncos
2020-08-16,2000,NFLN,Dallas Cowboys,Los Angeles Chargers
2020-08-20,1930,NFLN,Carolina Panthers,New England Patriots
2020-08-20,1930,N/A,Philadelphia Eagles,Miami Dolphins
2020-08-20,2000,ESPN,New York Jets,Detroit Lions
2020-08-21,1900,NFLN,Minnesota Vikings,Cincinnatti Bengals
2020-08-21,1900,N/A,Atlanta Falcons,Buffalo Bills
2020-08-21,2200,NFLN,Las Vegas Raiders,San Francisco 49ers
2020-08-22,1600,NFLN,Cleveland Browns,Green Bay Packers
2020-08-22,1900,NFLN,Baltimore Ravens,Dallas Cowboys
2020-08-22,2000,CBS,Jacksonville Jaguars,Tampa Bay Buccaneers
2020-08-22,2000,N/A,New York Giants,Tennessee Titans
2020-08-22,2000,N/A,Seattle Seahawks,Houston Texans
2020-08-22,2100,N/A,Kansas City Chiefs,Arizona Cardinals
2020-08-22,2105,N/A,Chicago Bears,Denver Broncos
2020-08-22,2200,NFLN,Los Angeles Rams,Los Angeles Chargers
2020-08-23,2000,FOX,New Orleans Saints,Pittsburgh Steelers
2020-08-24,2000,ESPN,Washington Redskins,Indianapolis Colts
2020-08-27,1930,NFLN,New England Patriots,Philadelphia Eagles
2020-08-27,1930,N/A,Detroit Lions,Miami Dolphins
2020-08-27,2200,N/A,Los Angeles Chargers,Seattle Seahawks
2020-08-27,2230,NFLN,Arizona Cardinals,Las Vegas Raiders
2020-08-28,1930,NFLN,Pittsburgh Steelers,New York Jets
2020-08-28,2000,CBS,Cincinnatti Bengals,Atlanta Falcons
2020-08-29,1300,NFLN,San Francisco 49ers,Chicago Bears
2020-08-29,1600,NFLN,Indianapolis Colts,Buffalo Bills
2020-08-29,1800,N/A,Green Bay Packers,New York Giants
2020-08-29,1900,N/A,Tennessee Titans,Tampa Bay Buccaneers
2020-08-29,1900,N/A,Washington Redskins,Jacksonville Jaguars
2020-08-29,1900,NFLN,Kansas City Chiefs,Dallas Cowboys
2020-08-29,2000,N/A,Houston Texans,New Orleans Saints
2020-08-29,2200,NFLN,Denver Broncos,Los Angeles Rams
2020-08-30,1600,FOX,Minnesota Vikings,Cleveland Browns
2020-08-30,2000,NBC,Carolina Panthers,Baltimore Ravens
2020-09-03,1900,N/A,New England Patriots,New York Giants
2020-09-03,1900,N/A,Atlanta Falcons,Jacksonville Jaguars
2020-09-03,1900,N/A,Buffalo Bills,Detroit Lions
2020-09-03,1900,NFLN,Indianapolis Colts,Cincinnatti Bengals
2020-09-03,1930,N/A,Pittsburgh Steelers,Carolina Panthers
2020-09-03,1930,N/A,Baltimore Ravens,Washington Redskins
2020-09-03,1930,N/A,New York Jets,Philadelphia Eagles
2020-09-03,1930,N/A,Tampa Bay Buccaneers,Cleveland Browns
2020-09-03,2000,N/A,Chicago Bears,Tennessee Titans
2020-09-03,2000,N/A,Miami Dolphins,New Orleans Saints
2020-09-03,2000,N/A,Seattle Seahawks,Minnesota Vikings
2020-09-03,2000,N/A,Green Bay Packers,Kansas City Chiefs
2020-09-03,2000,N/A,Dallas Cowboys,Houston Texans
2020-09-03,2200,N/A,Los Angeles Chargers,San Francisco 49ers
2020-09-03,2200,NFLN,Los Angeles Rams,Las Vegas Raiders
2020-09-03,2200,N/A,Denver Broncos,Arizona Cardinals
2020-09-10,2020,NBC,Houston Texans,Kansas City Chiefs
2020-09-13,1300,FOX,Philadelphia Eagles,Washington Redskins
2020-09-13,1300,CBS,Miami Dolphins,New England Patriots
2020-09-13,1300,FOX,Green Bay Packers,Minnesota Vikings
2020-09-13,1300,CBS,Indianapolis Colts,Jacksonville Jaguars
2020-09-13,1300,FOX,Chicago Bears,Detroit Lions
2020-09-13,1300,CBS,Las Vegas Raiders,Carolina Panthers
2020-09-13,1300,CBS,New York Jets,Buffalo Bills
2020-09-13,1300,CBS,Cleveland Browns,Baltimore Ravens
2020-09-13,1300,FOX,Seattle Seahawks,Atlanta Falcons
2020-09-13,1605,CBS,Los Angeles Chargers,Cincinnatti Bengals
2020-09-13,1625,FOX,Arizona Cardinals,San Francisco 49ers
2020-09-13,1625,FOX,Tampa Bay Buccaneers,New Orleans Saints
2020-09-13,2020,NBC,Dallas Cowboys,Los Angeles Rams
2020-09-14,1915,ESPN,Pittsburgh Steelers,New York Giants
2020-09-14,2210,ESPN,Tennessee Titans,Denver Broncos
2020-09-17,2020,NFLN,Cincinnatti Bengals,Cleveland Browns
2020-09-20,1300,CBS,Jacksonville Jaguars,Tennessee Titans
2020-09-20,1300,FOX,Carolina Panthers,Tampa Bay Buccaneers
2020-09-20,1300,CBS,Denver Broncos,Pittsburgh Steelers
2020-09-20,1300,FOX,Los Angeles Rams,Philadelphia Eagles
2020-09-20,1300,FOX,San Francisco 49ers,New York Jets
2020-09-20,1300,CBS,Buffalo Bills,Miami Dolphins
2020-09-20,1300,FOX,Minnesota Vikings,Indianapolis Colts
2020-09-20,1300,FOX,Detroit Lions,Green Bay Packers
2020-09-20,1300,FOX,Atlanta Falcons,Dallas Cowboys
2020-09-20,1300,CBS,New York Giants,Chicago Bears
2020-09-20,1605,FOX,Washington Redskins,Arizona Cardinals
2020-09-20,1625,CBS,Kansas City Chiefs,Los Angeles Chargers
2020-09-20,1625,CBS,Baltimore Ravens,Houston Texans
2020-09-20,2020,NBC,New England Patriots,Seattle Seahawks
2020-09-21,2015,ESPN,New Orleans Saints,Las Vegas Raiders
2020-09-24,2020,NFLN,Miami Dolphins,Jacksonville Jaguars
2020-09-27,1300,CBS,Houston Texans,Pittsburgh Steelers
2020-09-27,1300,CBS,Cincinnatti Bengals,Philadelphia Eagles
2020-09-27,1300,FOX,San Francisco 49ers,New York Giants
2020-09-27,1300,CBS,Las Vegas Raiders,New England Patriots
2020-09-27,1300,CBS,Tennessee Titans,Minnesota Vikings
2020-09-27,1300,FOX,Washington Redskins,Cleveland Browns
2020-09-27,1300,FOX,Los Angeles Rams,Buffalo Bills
2020-09-27,1300,FOX,Chicago Bears,Atlanta Falcons
2020-09-27,1605,CBS,Carolina Panthers,Los Angeles Chargers
2020-09-27,1605,CBS,New York Jets,Indianapolis Colts
2020-09-27,1625,FOX,Dallas Cowboys,Seattle Seahawks
2020-09-27,1625,FOX,Tampa Bay Buccaneers,Denver Broncos
2020-09-27,1625,FOX,Detroit Lions,Arizona Cardinals
2020-09-27,2020,NBC,Green Bay Packers,New Orleans Saints
2020-09-28,2015,ESPN,Kansas City Chiefs,Baltimore Ravens
2020-10-01,2020,NFLN,Denver Broncos,New York Jets
2020-10-04,1300,CBS,Baltimore Ravens,Washington Redskins
2020-10-04,1300,CBS,Pittsburgh Steelers,Tennessee Titans
2020-10-04,1300,CBS,Los Angeles Chargers,Tampa Bay Buccaneers
2020-10-04,1300,FOX,Seattle Seahawks,Miami Dolphins
2020-10-04,1300,FOX,Minnesota Vikings,Houston Texans
2020-10-04,1300,FOX,New Orleans Saints,Detroit Lions
2020-10-04,1300,FOX,Cleveland Browns,Dallas Cowboys
2020-10-04,1300,CBS,Jacksonville Jaguars,Cincinnatti Bengals
2020-10-04,1300,CBS,Indianapolis Colts,Chicago Bears
2020-10-04,1300,FOX,Arizona Cardinals,Carolina Panthers
2020-10-04,1605,FOX,New York Giants,Los Angeles Rams
2020-10-04,1625,CBS,Buffalo Bills,Las Vegas Raiders
2020-10-04,1625,CBS,New England Patriots,Kansas City Chiefs
2020-10-04,2020,NBC,Philadelphia Eagles,San Francisco 49ers
2020-10-05,2015,ESPN,Atlanta Falcons,Green Bay Packers
2020-10-08,2020,FOX,Tampa Bay Buccaneers,Chicago Bears
2020-10-11,1300,FOX,Los Angeles Rams,Washington Redskins
2020-10-11,1300,CBS,Buffalo Bills,Tennessee Titans
2020-10-11,1300,FOX,Philadelphia Eagles,Pittsburgh Steelers
2020-10-11,1300,FOX,Arizona Cardinals,New York Jets
2020-10-11,1300,CBS,Denver Broncos,New England Patriots
2020-10-11,1300,CBS,Las Vegas Raiders,Kansas City Chiefs
2020-10-11,1300,CBS,Jacksonville Jaguars,Houston Texans
2020-10-11,1300,CBS,Cincinnatti Bengals,Baltimore Ravens
2020-10-11,1300,FOX,Carolina Panthers,Atlanta Falcons
2020-10-11,1605,FOX,Miami Dolphins,San Francisco 49ers
2020-10-11,1625,CBS,New York Giants,Dallas Cowboys
2020-10-11,1625,CBS,indianapolis Colts,Cleveland Browns
2020-10-11,2020,NBC,Minnesota Vikings,Seattle Seahawks
2020-10-12,2015,ESPN,Los Angeles Chargers,New Orleans Saints
2020-10-15,2020,FOX,Kansas City Chiefs,Buffalo Bills
2020-10-18,1300,CBS,Houston Texans,Tennessee Titans
2020-10-18,1300,CBS,Cleveland Browns,Pittsburgh Steelers
2020-10-18,1300,CBS,Baltimore Ravens,Philadelphia Eagles
2020-10-18,1300,FOX,Washington Redskins,New York Giants
2020-10-18,1300,FOX,Atlanta Falcons,Minnesota Vikings
2020-10-18,1300,FOX,Detroit Lions,Jacksonville Jaguars
2020-10-18,1300,FOX,Cincinnatti Bengals,Indianapolis Colts
2020-10-18,1300,FOX,Chicago Bears,Carolina Panthers
2020-10-18,1605,CBS,New York Jets,Los Angeles Chargers
2020-10-18,1605,CBS,Miami Dolphins,Denver Broncos
2020-10-18,1625,FOX,Green Bay Packers,Tampa Bay Buccaneers
2020-10-18,2020,NBC,Los Angeles Rams,San Francisco 49ers
2020-10-19,2015,ESPN,Arizona Cardinals,Dallas Cowboys
2020-10-22,2020,FOX,New York Giants,Philadelphia Eagles
2020-10-25,1300,FOX,Dallas Cowboys,Washington Redskins
2020-10-25,1300,CBS,Buffalo Bills,New York Jets
2020-10-25,1300,FOX,Carolina Panthers,New Orleans Saints
2020-10-25,1300,CBS,Los Angeles Chargers,Miami Dolphins
2020-10-25,1300,FOX,Green Bay Packers,Houston Texans
2020-10-25,1300,CBS,Cleveland Browns,Cincinnatti Bengals
2020-10-25,1300,CBS,Pittsburgh Steelers,Baltimore Ravens
2020-10-25,1300,FOX,Detroit Lions,Atlanta Falcons
2020-10-25,1605,FOX,Seattle Seahawks,Arizona Cardinals
2020-10-25,1625,CBS,San Francisco 49ers,New England Patriots
2020-10-25,1625,CBS,Kansas City Chiefs,Denver Broncos
2020-10-25,2020,NBC,Tampa Bay Buccaneers,Las Vegas Raiders
2020-10-26,2015,ESPN,Chicago Bears,Los Angeles Rams
2020-10-29,2020,FOX,Atlanta Falcons,Carolina Panthers
2020-11-01,1300,FOX,Los Angeles Rams,Miami Dolphins
2020-11-01,1300,CBS,New York Jets,Kansas City Chiefs
2020-11-01,1300,FOX,Minnesota Vikings,Green Bay Packers
2020-11-01,1300,CBS,Indianapolis Colts,Detroit Lions
2020-11-01,1300,FOX,Las Vegas Raiders,Cleveland Browns
2020-11-01,1300,CBS,Tennessee Titans,Cincinnatti Bengals
2020-11-01,1300,CBS,New England Patriots,Buffalo Bills
2020-11-01,1605,CBS,Jacksonville Jaguars,Los Angeles Chargers
2020-11-01,1625,FOX,San Francisco 49ers,Seattle Seahawks
2020-11-01,1625,FOX,New Orleans Saints,Chicago Bears
2020-11-01,2020,NBC,Dallas Cowboys,Philadelphia Eagles
2020-11-02,2015,ESPN,Tampa Bay Buccaneers,New York Giants
2020-11-05,2020,FOX,Green Bay Packers,San Francisco 49ers
2020-11-08,1300,FOX,New York Giants,Washington Redskins
2020-11-08,1300,FOX,Chicago Bears,Tennessee Titans
2020-11-08,1300,CBS,Detroit Lions,Minnesota Vikings
2020-11-08,1300,FOX,Carolina Panthers,Kansas City Chiefs
2020-11-08,1300,CBS,Houston Texans,Jacksonville Jaguars
2020-11-08,1300,CBS,Baltimore Ravens,Indianapolis Colts
2020-11-08,1300,FOX,Seattle Seahawks,Buffalo Bills
2020-11-08,1300,CBS,Denver Broncos,Atlanta Falcons
2020-11-08,1605,FOX,Las Vegas Raiders,Los Angeles Chargers
2020-11-08,1625,CBS,Pittsburgh Steelers,Dallas Cowboys
2020-11-08,1625,CBS,Miami Dolphins,Arizona Cardinals
2020-11-08,2020,NBC,New Orleans Saints,Tampa Bay Buccaneers
2020-11-09,2015,ESPN,New England Patriots,New York Jets
2020-11-12,2020,FOX,Indianapolis Colts,Tennessee Titans
2020-11-15,1300,FOX,Cincinnatti Bengals,Pittsburgh Steelers
2020-11-15,1300,FOX,Philadelphia Eagles,New York Giants
2020-11-15,1300,FOX,Jacksonville Jaguars,Green Bay Packers
2020-11-15,1300,FOX,Washington Redskins,Detroit Lions
2020-11-15,1300,FOX,Houston Texans,Cleveland Browns
2020-11-15,1300,FOX,Tampa Bay Buccaneers,Carolina Panthers
2020-11-15,1605,CBS,New York Jets,Miami Dolphins
2020-11-15,1605,CBS,Denver Broncos,Las Vegas Raiders
2020-11-15,1605,CBS,Buffalo Bills,Arizona Cardinals
2020-11-15,1625,FOX,San Francisco 49ers,New Orleans Saints
2020-11-15,1625,FOX,Seattle Seahawks,Los Angeles Rams
2020-11-15,2020,NBC,Baltimore Ravens,New England Patriots
2020-11-16,2015,ESPN,Minnesota Vikings,Chicago Bears
2020-11-19,2020,FOX,Arizona Cardinals,Seattle Seahawks
2020-11-22,1300,CBS,Cincinnatti Bengals,Washington Redskins
2020-11-22,1300,FOX,Atlanta Falcons,New Orleans Saints
2020-11-22,1300,CBS,Pittsburgh Steelers,Jacksonville Jaguars
2020-11-22,1300,FOX,Green Bay Packers,Indianapolis Colts
2020-11-22,1300,CBS,New England Patriots,Houston Texans
2020-11-22,1300,FOX,Philadelphia Eagles,Cleveland Browns
2020-11-22,1300,FOX,Detroit Lions,Carolina Panthers
2020-11-22,1300,CBS,Tennessee Titans,Baltimore Ravens
2020-11-22,1605,CBS,Los Angeles Chargers,Denver Broncos
2020-11-22,1625,FOX,Dallas Cowboys,Minnesota Vikings
2020-11-22,2020,NBC,Kansas City Chiefs,Las Vegas Raiders
2020-11-23,2015,ESPN,Los Angeles Rams,Tampa Bay Buccaneers
2020-11-26,1230,CBS,Houston Texans,Detroit Lions
2020-11-26,1630,FOX,Washington Redskins,Dallas Cowboys
2020-11-26,2020,NBC,Baltimore Ravens,Pittsburgh Steelers
2020-11-29,1300,CBS,Miami Dolphins,New York Jets
2020-11-29,1300,FOX,Arizona Cardinals,New England Patriots
2020-11-29,1300,FOX,Carolina Panthers,Minnesota Vikings
2020-11-29,1300,CBS,Cleveland Browns,Jacksonville Jaguars
2020-11-29,1300,CBS,Tennessee Titans,Indianapolis Colts
2020-11-29,1300,FOX,New York Giants,Cincinnatti Bengals
2020-11-29,1300,CBS,Los Angeles Chargers,Buffalo Bills
2020-11-29,1300,CBS,Las Vegas Raiders,Atlanta Falcons
2020-11-29,1605,FOX,San Francisco 49ers,Los Angeles Rams
2020-11-29,1605,FOX,New Orleans Saints,Denver Broncos
2020-11-29,1625,CBS,Kansas City Chiefs,Tampa Bay Buccaneers
2020-11-29,2020,NBC,Chicago Bears,Green Bay Packers
2020-11-30,2015,ESPN,Seattle Seahawks,Philadelphia Eagles
2020-12-03,2020,FOX,Dallas Cowboys,Baltimore Ravens
2020-12-06,1300,CBS,Cleveland Browns,Tennessee Titans
2020-12-06,1300,FOX,Washington Redskins,Pittsburgh Steelers
2020-12-06,1300,CBS,Las Vegas Raiders,New York Jets
2020-12-06,1300,CBS,Jacksonville Jaguars,Minnesota Vikings
2020-12-06,1300,CBS,Cincinnatti Bengals,Miami Dolphins
2020-12-06,1300,CBS,Indianapolis Colts,Houston Texans
2020-12-06,1300,FOX,Detroit Lions,Chicago Bears
2020-12-06,1300,FOX,New Orleans Saints,Atlanta Falcons
2020-12-06,1605,FOX,New York Giants,Seattle Seahawks
2020-12-06,1605,FOX,Los Angeles Rams,Arizona Cardinals
2020-12-06,1625,CBS,New England Patriots,Los Angeles Chargers
2020-12-06,1625,CBS,Philadelphia Eagles,Green Bay Packers
2020-12-06,2020,NBC,Denver Broncos,Kansas City Chiefs
2020-12-07,2015,ESPN,Buffalo Bills,San Francisco 49ers
2020-12-10,2020,FOX,New England Patriots,Los Angeles Rams
2020-12-13,1300,FOX,Minnesota Vikings,Tampa Bay Buccaneers
2020-12-13,1300,FOX,Arizona Cardinals,New York Giants
2020-12-13,1300,CBS,Kansas City Chiefs,Miami Dolphins
2020-12-13,1300,CBS,Tennessee Titans,Jacksonville Jaguars
2020-12-13,1300,FOX,Green Bay Packers,Detroit Lions
2020-12-13,1300,FOX,Dallas Cowboys,Cincinnatti Bengals
2020-12-13,1300,CBS,Houston Texans,Chicago Bears
2020-12-13,1300,CBS,Denver Broncos,Carolina Panthers
2020-12-13,1605,CBS,New York Jets,Seattle Seahawks
2020-12-13,1605,CBS,Indianapolis Colts,Las Vegas Raiders
2020-12-13,1625,FOX,Washington Redskins,San Francisco 49ers
2020-12-13,1625,FOX,New Orleans Saints,Philadelphia Eagles
2020-12-13,1625,FOX,Atlanta Falcons,Los Angeles Chargers
2020-12-13,2020,NBC,Pittsburgh Steelers,Buffalo Bills
2020-12-14,2015,ESPN,Baltimore Ravens,Cleveland Browns
2020-12-17,2020,FOX,Los Angeles Chargers,Las Vegas Raiders
2020-12-20,1300,FOX,Seattle Seahawks,Washington Redskins
2020-12-20,1300,CBS,Cleveland Browns,New York Giants
2020-12-20,1300,FOX,Chicago Bears,Minnesota Vikings
2020-12-20,1300,CBS,New England Patriots,Miami Dolphins
2020-12-20,1300,CBS,Jacksonville Jaguars,Baltimore Ravens
2020-12-20,1300,FOX,Tampa Bay Buccaneers,Atlanta Falcons
2020-12-20,1605,FOX,Philadelphia Eagles,Arizona Cardinals
2020-12-20,1625,CBS,Kansas City Chiefs,New Orleans Saints
2020-12-20,2020,NBC,San Francisco 49ers,Dallas Cowboys
2020-12-21,2015,ESPN,Pittsburgh Steelers,Cincinnatti Bengals
2020-12-25,1630,FOX,Minnesota Vikings,New Orleans Saints
2020-12-27,1300,CBS,Carolina Panthers,Washington Redskins
2020-12-27,1300,CBS,Indianapolis Colts,Pittsburgh Steelers
2020-12-27,1300,FOX,Atlanta Falcons,Kansas City Chiefs
2020-12-27,1300,FOX,Chicago Bears,Jacksonville Jaguars
2020-12-27,1300,CBS,Cincinnatti Bengals,Houston Texans
2020-12-27,1300,FOX,New York Giants,Baltimore Ravens
2020-12-27,1605,CBS,Los Angeles Rams,Seattle Seahawks
2020-12-27,1625,FOX,Philadelphia Eagles,Dallas Cowboys
2020-12-27,2020,NBC,Tennessee Titans,Green Bay Packers
2020-12-28,2015,ESPN,Buffalo Bills,New England Patriots
2021-01-03,1300,CBS,Jacksonville Jaguars,Indianapolis Colts
2021-01-03,1300,CBS,Tennessee Titans,Houston Texans
2021-01-03,1300,FOX,Atlanta Falcons,Tampa Bay Buccaneers
2021-01-03,1300,FOX,Washington Redskins,Philadelphia Eagles
2021-01-03,1300,FOX,Dallas Cowboys,New York Giants
2021-01-03,1300,CBS,New York Jets,New England Patriots
2021-01-03,1300,CBS,Los Angeles Chargers,Kansas City Chiefs
2021-01-03,1300,FOX,Minnesota Vikings,Detroit Lions
2021-01-03,1300,CBS,Pittsburgh Steelers,Cleveland Browns
2021-01-03,1300,CBS,Baltimore Ravens,Cincinnatti Bengals
2021-01-03,1300,FOX,Green Bay Packers,Chicago Bears
2021-01-03,1300,FOX,New Orleans Saints,Carolina Panthers
2021-01-03,1300,CBS,Miami Dolphins,Buffalo Bills
2021-01-03,1625,FOX,Seattle Seahawks,San Francisco 49ers
2021-01-03,1625,FOX,Arizona Cardinals,Los Angeles Chargers
2021-01-03,1625,CBS,Las Vegas Raiders,Denver Broncos